Name,Description
Mind Blast(Blast),Moderate non-elemental damage as well as Paralyze and Sap. 
Mini(Size),Inflicts and/or removes the Mini status. 
Megaflare(MegaNuke)(Mega Flare),Extreme non-elemental damage to the target. 
Meteor(Meteo),Heavy Holy-elemental damage to the target.
Needle ,Inflicts non-elemental damage. Ignores Protect status. 
Ninth Dimension(Disrupt)(Dimension 9),Inflicts Death. Is Reflectable. 
Object 199(Globe 199)(Number 199),Inflicts extreme non-elemental damage to an ally. 
Osmose(Psych)(Asper),Drains MP from target to restore own MP. 
Pincers(Counter)(Counter Horn),Used as a counter to all attacks except the Chocobo summon. 
Poison Powder(Powder)(Cold Snap),Non-elemental damage and Blind to target. 
Pollen ,Non-elemental damage and Sap on the target. 
Protect(Armor),Increases Defense. 
Quake ,Major non-elemental damage to all non-floating targets. 
Raise(Life1)(Life),Revives a KO'd ally with minimum HP. 
Reflect(Wall),Bounces spell off of target back at target target. 
Regenerate ,Revives all KO'd allies. 
Reraise(Recover)(Arise),Revives one fallen target. 
Restore(Heal(Medic)(Panacea),Removes all bad statuses from target. 
Retreat ,Escape from battle. 
Reversal Gas ,Inflicts Reverse on all target members and targets. 
Samba de Flan(Dancing),Inflicts Berserk. 
Scorch(Glare),Major Fire-elemental damage. 
Self-Destruct(Explode),Deals damage equal to remaining HP. 
Shell ,Casts Shell
Silence(Mute),Prevents target from using spells. 
Slap ,"1/3 chance of Paralyze, Silence, or Curse."
Sleep ,Inflicts Sleep. 
Sleeping Gas(Gas)(Sleep Gas),Inflicts Sleep to the target. Counter to physical damage. 
Slow ,Reduces target's speed. 
Stone Gaze(Petrify),Inflicts Gradual Petrify. 
Stone Touch(Ray)(Finger Tip),Inflicts Gradual Petrify. 
Stop ,Inflicts Stop. 
Summon(Call),Calls a monster into the battle. Golbez calls Shadow Dragon. 
Target(Search),Target does not do anything. It is only used by Trap Door to warn the player that it's about to use Ninth Dimension. 
Thermal Ray(Heat Ray),Inflicts major Fire-elemental damage to the target. 
Thundara(Lit-2)(Bolt2),Moderate Lightning elemental damage. 
Thundaga(Lit-3)(Bolt3),Heavy Lightning-elemental damage. 
Thunder(Lit-1)(Bolt1),Minor Lightning-elemental damage. 
Thunderbolt(Blitz),Moderate Lightning-elemental damage to the target. 
Toad ,Inflicts and/or removes the Toad status. 
Tongue(Lick),Inflicts damage and Sleep. 
Tornado(Weak)(Wind),Reduces a target's HP to single digits. 
Tsunami(Wave),Heavy Water-elemental damage to the target.
Whirlwind(Tornado),Minor non-elemental damage. 
Whirl(Weak)(Wall),"Same as the Black Magic spell Tornado, but is more effective. Used as a counter to Holy-elemental attacks."
Wing Scales ,Inflicts Blind. 
(Vanish) ,"Used in Zeromus' script to kill self, name is not displayed during battle."
Zantetsuken(Odin),Extreme non-elemental damage to the target. 
